label,code,byte_value,tempqc,group_label
scientific_qc_applied,QCA,1,1.0,ACT_CODES_FULL_PROFILE
wire_stretch,WSA,2,2.0,ACT_CODES_TO_NEXT_FLAG
leakage,LEA,4,2.0,ACT_CODES_TO_NEXT_FLAG
electrical_interference_interpolated,EIA,8,2.0,ACT_CODES_TO_NEXT_FLAG
high_frequency_noise_filtered,HFA,16,2.0,ACT_CODES_TO_NEXT_FLAG
repeat_profile,REA,32,nan,ACT_CODES_FULL_PROFILE
temperature_inversion_confirmed,IVA,64,1.0,ACT_CODES_TO_NEXT_FLAG
temperature_inversion_unconfirmed,PIA,128,2.0,ACT_CODES_TO_NEXT_FLAG
temperature_offset,TOA,256,2.0,ACT_CODES_TO_NEXT_FLAG
temperature_eddy_or_front,EFA,512,1.0,ACT_CODES_FULL_PROFILE
temperature_steps_or_structure_confirmed,STA,1024,1.0,ACT_CODES_FULL_PROFILE
temperature_steps_or_structure_unconfirmed,PSA,2048,2.0,ACT_CODES_FULL_PROFILE
depth_offset,DOA,4096,5.0,ACT_CODES_FULL_PROFILE
constant_temperature,CTA,8192,2.0,ACT_CODES_TO_NEXT_FLAG
time_error_corrected,TEA,16384,2.0,ACT_CODES_FULL_PROFILE
latitude_error_corrected,LAA,32768,2.0,ACT_CODES_FULL_PROFILE
longitude_error_corrected,LOA,65536,2.0,ACT_CODES_FULL_PROFILE
probe_type_changed,PRA,131072,5.0,ACT_CODES_FULL_PROFILE
spike_interpolated,SPA,262144,2.0,ACT_CODES_TO_NEXT_FLAG
fine_structure,FSA,524288,2.0,ACT_CODES_FULL_PROFILE
insulation_penetration_interpolated,IPA,1048576,2.0,ACT_CODES_TO_NEXT_FLAG
nub_inversion,NUA,2097152,1.0,ACT_CODES_FULL_PROFILE
hit_bottom,HBA,4194304,2.0,ACT_CODES_TO_NEXT_FLAG
premature_launch,PLA,8388608,2.0,ACT_CODES_FULL_PROFILE
surface_temperature_anomaly,SAA,16777216,2.0,ACT_CODES_FULL_PROFILE
surface_offset,SOA,33554432,2.0,ACT_CODES_FULL_PROFILE
temperature_anomaly,TAA,67108864,2.0,ACT_CODES_TO_NEXT_FLAG
temperature_difference_at_depth,TDA,134217728,2.0,ACT_CODES_TO_NEXT_FLAG
unique_id_changed,IDA,268435456,1.0,ACT_CODES_FULL_PROFILE
bowing_BathySystems,BOA,536870912,2.0,ACT_CODES_FULL_PROFILE
cusping_BathySystems_leakage,CUA,1073741824,2.0,ACT_CODES_TO_NEXT_FLAG
sippicanMK_ timing_delay_driver_error,DRA,2147483648,2.0,ACT_CODES_FULL_PROFILE
BathySystem_software_fault_modulo_10_spikes_filtered,MOA,4294967296,2.0,ACT_CODES_TO_NEXT_FLAG
protecho_systems_leakage_fault,PFA,8589934592,2.0,ACT_CODES_FULL_PROFILE
sippicanMK9_sticking_bit_19_point_filtered,SBA,17179869184,2.0,ACT_CODES_TO_NEXT_FLAG
depth_corrected_multiplied_by_10,DEA,34359738368,1.0,ACT_CODES_FULL_PROFILE
depth_corrected_update_fall_rate_equation,DPA,68719476736,0.0,ACT_CODES_FULL_PROFILE
bathy_data_low_resolution,BDA,137438953472,1.0,ACT_CODES_FULL_PROFILE
