label,code,byte_value
scientific_qc_applied,QCA,1
surface_transient,CSR,2
wire_break,WBR,4
wire_stretch,WSA,8
wire_stretch_rejected,WSR,16
hit_bottom,HBR,32
leakage,LEA,64
leakage_rejected,LER,128
electrical_interference_filtered,EIF,256
electrical_interference,EIA,512
electrical_interference_rejected,EIR,1024
high_frequency_noise_filtered_full_profile,HFF,2048
high_frequency_noise,HFA,4096
high_frequency_noise_rejected,HFR,8192
no_good_reject,NGR,16384
repeat_profile,REA,32768
temperature_inversion_confirmed,IVA,65536
temperature_inversion_unconfirmed,IVA,131072
temperature_offset,TOA,262144
temperature_offset_rejected,TOR,524288
temperature_eddy_or_front,EFA,1048576
temperature_steps_or_structure_confirmed,STA,2097152
temperature_steps_or_structure_unconfirmed,STA,4194304
depth_offset,DOA,8388608
depth_offset_rejected,DOR,16777216
constant_temperature,CTA,33554432
constant_temperature_rejected,CTR,67108864
time_error_corrected,TEA,134217728
time_error_rejected,TER,268435456
latitude_error_corrected,LAA,536870912
longitude_error_corrected,LOA,1073741824
position_error_rejected,PER,2147483648
duplicate_profile,DUR,4294967296
test_probe,TPR,8589934592
probe_type_changed,PTA,17179869184
probe_type_rejected,PTR,34359738368
fine_structure,FSA,68719476736
insulation_penetration_interpolated,IPA,137438953472
insulation_penetration_rejected,IPR,274877906944
nub_inversion,NUA,549755813888
premature_launch,PLA,1099511627776
probable_inversion,PIA,2199023255552
probable_steplike_structure,PSA,4398046511104
surface_temperature_anomaly,SAA,8796093022208
surface_offset,SOA,17592186044416
surface_offset_rejected,SOR,35184372088832
temperature_anomaly,TAA,70368744177664
temperature_difference_at_depth,TDA,140737488355328
other_probe_type_error,OPR,281474976710656
bowing_BathySystems,BOA,562949953421312
bowing_BathySystems_rejected,BOR,1125899906842624
cusping_ BathySystems_ leakage,CUA,2251799813685248
cusping_ BathySystems_ leakage_rejected,CUR,4503599627370496
sippicanMK_ timing_delay_driver_error,DRR,9007199254740992
BathySystem_software_fault_modulo_10_spikes_filtered,MOA,18014398509481984
BathySystem_software_fault_modulo_10_spikes_rejected,MOR,36028797018963968
protecho_systems_leakage_fault,PFA,72057594037927936
protecho_systems_leakage_fault_rejected,PFR,144115188075855872
sippicanMK9_sticking_bit_19_point_filtered,SBA,288230376151711744
sippicanMK9_sticking_bit_rejected,SBR,576460752303423488
mixed_layer,MLA,1152921504606846976
profile_not_assessed,NAA,2305843009213693952
under_resolved_profile,URR,4611686018427387904
contact_lost_with_probe,CLR,9223372036854775808
depth_corrected_update_FRE,DCA,18446744073709551616
depth_multiplied_by_10_corrected,DEA,36893488147419103232
depth_corrected_update_FRE,DPA,73786976294838206464
